P,H
41,55
97,433
26,146
65,72
63,81
28,164
26,195
48,229
25,90
21,88
24,88
24,88
41,56
69,63
15,180
173,65
64,153
69,147
14,92
13,146
44,186
40,178
140,142
25,154
24,154
26,268
17,62
89,106
51,170
102,170
118,400
43,189
10,403
10,403
33,518
50,46
50,46
35,236
24,54
222,103
66,129
14,40
27,41
22,51
22,51
31,34
73,144
20,147
19,140
19,139
16,124
16,383
44,532
40,530
42,53
324,157
75,53
14,27
72,500
30,100
67,223
50,122
63,338
151,136
166,136
108,70
88,65
70,85
32,62
67,305
11,67
10,75
27,57
19,48
63,338
31,285
46,52
113,68
39,173
83,50
83,50
40,26
40,24
40,24
40,24
40,24
41,24
41,24
118,210
119,320
77,133
11,119
194,68
88,66
93,92
21,70
11,274
134,116
46,231
29,72
198,78
15,72
96,123
96,123
96,123
186,118
157,118
42,134
43,117
11,30
56,75
116,43
53,352
28,84
28,80
21,345
23,356
23,360
11,38
235,366
17,325
17,325
17,325
17,325
50,310
50,310
14,165
64,82
56,39
56,39
65,42
60,54
15,34
45,435
28,299
59,270
114,112
10,102
32,56
86,156
155,76
176,141
22,58
11,58
24,69
67,130
40,255
28,27
30,27
28,27
39,29
87,300
77,286
102,270
22,204
32,216
13,27
52,116
48,122
48,122
51,123
21,15
19,83
19,81
32,262
30,262
21,266
24,297
62,56
41,261
85,32
19,18
17,78
17,78
68,111
68,111
11,22
35,325
28,432
28,432
25,429
300,176
50,143
50,143
11,281
15,333
15,333
30,200
42,129
21,116
31,38
17,98
17,98
82,253
11,130
17,49
47,94
14,90
14,224
12,220
25,44
15,80
15,80
15,80
18,77
180,278
99,66
147,141
65,177
99,71
99,71
52,388
71,291
92,307
26,28
25,28
10,20
16,84
72,192
28,56
483,313
48,34
50,33
43,34
130,107
130,107
23,126
30,44
21,50
31,340
25,100
15,135
62,104
14,78
10,100
47,52
14,16
128,74
128,74
33,56
15,98
12,128
12,128
12,128
89,114
97,121
11,339
20,192
27,50
230,73
10,127
13,149
51,267
113,376
30,376
110,377
181,150
19,373
90,82
171,210
46,40
46,40
52,87
63,67
47,146
13,71
26,270
28,46
22,122
10,236
64,38
30,53
21,75
20,60
12,35
13,190
12,196
13,189
71,540
13,79
11,75
30,167
11,55
11,55
30,500
61,72
11,24
52,571
24,132
92,180
11,144
223,61
203,58
24,62
23,155
57,101
37,80
29,62
153,327
26,160
582,165
44,413
63,115
180,63
180,63
29,245
24,227
15,235
85,69
18,126
34,40
20,20
72,81
85,69
18,126
15,333
128,128
128,118
31,415
30,415
10,13
52,295
21,280
46,465
50,478
14,34
14,34
50,250
29,40
36,322
46,177
40,310
13,18
19,86
76,317
16,320
48,62
18,122
26,122
155,94
155,94
155,89
310,161
40,374
128,78
102,79
37,197
42,201
37,200
37,197
37,197
37,197
37,197
20,102
27,57
66,46
66,46
14,53
310,103
65,245
72,68
29,32
12,40
10,34
116,137
30,84
73,198
113,44
18,220
16,63
16,48
75,450
75,450
612,87
10,101
128,100
130,100
136,100
25,25
12,52
49,53
32,174
24,353
11,353
10,136
48,180
87,412
87,412
770,144
610,130
32,201
60,140
26,205
180,734
16,20
16,20
10,36
25,44
70,53
75,53
75,53
98,105
98,105
123,110
183,103
469,103
94,52
37,200
12,61
15,92
23,79
26,19
10,108
10,107
33,62
32,70
36,510
42,350
14,133
19,80
28,53
77,214
15,18
66,82
18,300
15,300
15,300
18,59
49,350
57,395
53,355
87,225
154,610
75,87
68,87
52,85
75,87
16,19
14,19
15,19
15,19
55,410
10,268
32,140
86,146
117,149
11,84
44,485
48,480
31,300
34,300
68,551
60,550
80,86
72,86
66,83
11,77
11,77
11,77
140,188
132,187
82,66
42,147
22,88
46,33
194,48
222,123
26,57
11,63
31,44
31,44
16,44
199,110
205,115
189,63
178,63
27,225
27,225
50,185
44,186
50,185
44,186
16,37
16,37
31,87
49,135
78,200
35,106
33,106
35,106
29,99
15,56
101,252
27,98
54,78
36,61
36,61
102,80
85,458
62,216
34,234
16,258
21,119
21,119
21,119
49,265
26,59
15,293
30,96
15,105
62,140
154,387
154,387
26,68
26,68
23,75
26,83
16,315
19,240
15,189
103,227
92,453
30,134
17,26
134,600
340,156
281,300
32,90
64,71
105,95
105,95
155,92
82,73
183,154
183,154
59,58
16,187
16,187
89,95
106,100
62,174
31,94
25,55
150,590
31,200
49,432
64,495
21,72
21,68
15,57
62,108
58,108
82,202
82,202
43,57
16,31
35,58
35,58
35,58
35,58
35,58
13,22
16,28
26,55
56,64
54,64
21,259
22,305
29,315
41,300
315,520
315,520
82,116
42,246
21,283
35,561
23,171
16,167
25,365
21,370
20,157
339,137
195,79
195,79
91,382
13,116
50,226
154,206
49,49
49,48
37,35
36,35
36,35
82,46
28,125
26,37
15,32
36,310
40,320
41,275
30,258
12,230
53,180
52,39
67,136
70,143
12,200
12,200
17,139
72,128
340,219
16,33
24,280
17,47
10,71
125,456
115,435
100,445
62,361
11,118
28,188
169,135
150,135
150,135
67,417
408,122
15,180
53,108
28,108
18,124
43,338
44,335
75,276
62,358
30,48
40,359
18,135
40,51
55,300
59,560
16,57
39,56
55,93
27,258
25,285
68,115
25,88
127,70
153,312
15,112
57,328
185,687
70,107
22,354
22,354
12,111
11,110
13,117
40,47
35,43
15,180
93,81
218,96
21,172
52,222
25,120
28,25
133,162
26,255
331,70
127,70
200,94
15,143
113,476
113,479
37,60
17,232
26,149
26,149
21,194
44,44
41,44
41,107
76,125
39,235
37,59
91,185
99,536
60,450
60,450
77,455
120,115
41,53
54,40
53,38
34,77
60,260
27,260
11,11
13,353
25,353
153,86
144,86
157,89
20,126
18,126
18,126
550,183
35,235
33,134
21,140
59,65
98,203
31,45
52,215
69,369
15,81
26,38
34,60
11,41
20,450
16,85
26,52
10,364
14,76
10,136
168,95
180,94
153,95
37,200
17,38
62,85
40,92
25,287
58,35
23,113
119,513
119,513
74,396
51,263
26,58
47,322
100,240
28,84
12,44
13,44
30,47
242,350
18,60
336,487
281,487
48,362
25,91
67,91
43,236
37,226
15,300
65,440
50,420
50,420
50,420
101,425
27,178
17,192
65,265
191,148
109,176
24,302
157,91
22,142
66,303
46,175
58,285
12,19
31,99
34,40
72,100
40,280
52,282
47,300
14,245
14,245
45,192
20,150
12,343
12,62
30,35
30,35
28,176
28,176
28,184
30,192
11,125
228,435
206,435
69,252
13,73
13,73
18,62
66,84
40,375
24,59
11,59
11,59
34,24
36,45
193,144
55,125
55,125
85,325
68,320
38,227
62,145
27,145
139,150
87,112
10,28
32,51
34,167
230,109
52,75
60,92
56,430
24,32
26,32
10,106
62,75
18,32
35,41
25,40
25,40
62,81
62,81
221,88
56,93
11,61
42,47
61,45
66,70
47,74
20,130
166,495
43,362
43,362
47,300
47,300
38,229
42,238
23,213
22,194
19,250
12,73
27,133
14,59
53,45
38,32
62,290
10,202
21,323
21,323
25,323
34,125
241,72
11,110
11,110
68,176
57,128
35,248
39,235
60,240
21,66
21,66
12,228
11,178
238,60
238,60
236,60
241,59
11,81
39,82
18,38
75,494
78,493
80,490
19,62
19,62
32,22
32,22
36,141
34,144
611,155
25,46
87,106
17,48
83,68
91,552
35,95
33,334
43,90
43,90
43,90
43,90
21,84
71,37
10,23
10,23
56,74
121,495
121,495
121,495
55,50
72,84
41,151
41,151
74,229
41,104
15,144
12,20
12,20
12,20
12,21
12,21
33,34
30,33
30,33
37,26
37,26
30,59
15,55
63,81
40,500
17,260
15,261
24,153
96,190
96,190
98,180
42,435
507,127
81,145
78,67
21,243
17,56
36,561
51,531
339,145
13,281
35,177
43,242
41,242
81,330
25,65
25,58
50,83
89,108
37,226
58,672
57,636
42,45
42,45
13,48
82,130
87,138
100,137
94,144
87,144
17,140
17,97
30,97
35,38
32,38
32,38
78,44
16,33
31,108
63,268
61,265
57,260
55,255
34,50
44,422
43,422
43,422
10,61
11,44
18,105
52,72
16,410
86,77
22,120
40,110
92,175
55,46
315,66
43,38
43,38
48,41
339,106
361,98
72,47
31,328
67,103
16,157
117,217
48,178
20,62
25,148
22,149
13,225
16,71
28,187
50,205
59,184
36,87
710,81
49,350
51,121
27,244
140,59
18,97
22,230
23,180
24,215
22,230
19,200
160,425
42,201
34,210
33,132
222,171
29,232
76,434
431,117
12,50
11,50
10,51
10,51
431,117
87,125
13,162
213,62
23,194
28,34
25,29
50,101
13,321
49,44
41,44
56,109
13,76
22,105
78,63
84,63
78,63
155,97
13,197
12,175
69,412
65,412
69,320
55,296
78,90
78,89
43,90
150,84
150,84
150,84
130,113
127,113
36,129
52,255
16,89
72,430
98,345
17,320
17,320
17,320
35,120
20,175
21,245
21,245
20,255
23,91
152,55
35,302
37,262
14,38
65,485
32,175
26,176
105,210
60,216
63,286
36,141
50,42
50,42
50,42
50,42
50,42
51,284
121,264
20,152
60,485
55,284
55,284
58,284
58,284
37,80
46,267
46,267
56,267
38,32
18,122
33,81
29,62
17,410
116,190
115,190
19,92
447,330
24,55
24,55
74,430
96,292
31,30
17,80
26,110
35,49
140,73
147,73
131,73
146,73
187,75
147,73
187,73
19,81
66,210
19,65
19,65
19,159
19,240
107,321
81,300
81,545
71,545
71,51
103,460
37,328
34,320
34,320
106,540
63,241
34,152
12,165
15,83
44,68
20,200
350,543
250,543
11,50
49,350
49,68
34,94
21,94
39,38
81,59
52,420
22,310
14,191
19,29
11,98
72,140
178,115
445,136
216,136
37,261
67,66
41,111
10,37
10,37
32,45
82,146
46,57
31,274
10,70
117,230
224,228
62,216
35,52
13,145
28,366
28,367
27,171
36,53
60,158
21,310
110,392
168,430
165,430
165,430
330,430
75,430
63,123
247,164
17,98
76,79
104,120
132,130
16,160
127,371
44,137
19,75
81,285
26,290
26,53
37,220
15,163
50,93
34,193
35,312
191,335
18,370
20,370
21,64
45,84
86,51
70,88
71,89
134,223
60,87
18,45
92,510
33,111
21,190
18,192
16,192
62,48
46,64
90,282
30,292
63,284
39,278
37,270
39,48
83,190
11,191
163,67
163,67
74,413
68,424
15,112
100,223
103,209
11,192
14,192
77,100
77,100
22,195
17,21
17,21
97,64
90,64
120,61
120,61
15,80
21,170
41,44
43,44
33,277
27,275
27,275
112,62
31,39
26,38
11,123
17,135
60,80
47,49
12,235
100,80
106,74
148,105
128,515
14,155
55,212
80,85
82,358
10,48
52,150
27,150
26,85
12,109
53,93
51,531
20,126
43,269
44,307
22,16
72,134
20,179
51,214
122,92
16,113
20,180
11,59
15,185
15,185
20,180
37,445
39,445
127,400
72,445
22,64
13,63
13,63
